service_name,row_number,category_1,category_2,category_3,category_4,precondition,test_step,expected_result,priority,priority_raw,os,os_raw,version,compound_attribute,precond_categories,ui_visibility,data_change,function_behavior,permission_auth,exception_error,network_server,notification,multi_device_os,state_persistence,content_media,has_precondition,automation_candidate,manual_required
1.가입,10,알림 권한 허용 요청,알림 권한 허용 요청 팝업 표시 확인,,,최초 설치,앱 설치 후 최초 실행,"카카오톡 시작화면 내 팝업이 표시된다.
----------
'카카오톡'에서 알림을 보내고자 합니다.

경고, 사운드 및 아이콘 배지가 알림에 포함될 수 있습니다. 설정에서 이를 구성할 수 있습니다.

허용 안함 , 허용",P1,1.0,ios,I,v25.2.0,UI노출확인+권한인증확인+예외에러확인+알림푸시확인,"권한_허용,알림_허용",1,0,0,1,1,0,1,0,0,0,1,1,0
1.가입,12,알림 권한 허용 요청,알림 권한 설정 확인,권한 허용 안함,,,"팝업에서 ""허용 안함"" 선택 후 권한 확인",디바이스 설정 - 알림 - 카카오톡 알림 허용 확인 시 Off로 설정,P1,1.0,ios,I,v25.2.0,권한인증확인+알림푸시확인+멀티디바이스OS,"권한_허용,알림_허용",0,0,0,1,0,0,1,1,0,0,0,0,0
1.가입,13,알림 권한 허용 요청,알림 권한 설정 확인,권한 허용,,,"팝업에서 ""허용"" 선택 후 권한 확인",설정 - 알림 - 카카오톡 알림 허용 확인 시 On으로 설정,P1,1.0,ios,I,v25.2.0,권한인증확인+알림푸시확인,"권한_허용,알림_허용",0,0,0,1,0,0,1,0,0,0,0,0,0
1.가입,25,로그인 제한,인증뺏긴 전화번호 계정 로그인 제한,권한 허용,디폴트 문구,"인증뺏김 상태
전화번호 계정 상태에서 인증뺏김 상태",1. 로그인 화면에서 사전조건의 계정 입력 후 [카카오계정 로그인] 버튼 클릭,"1. 팝업이 표시된다.
: 카카오 계정 또는 비밀번호를 다시 확인해주세요.
[확인]",P3,3.0,common,app,_x0008_v25.2.0,UI노출확인+권한인증확인+예외에러확인+알림푸시확인,"로그인,특정_계정,권한_허용",1,0,0,1,1,0,1,0,0,0,1,1,0
1.가입,27,국가 코드 자동 입력,국가코드 설정 우선순위 확인,권한 허용,디폴트 문구,언어설정 : 한국 외,"1. 로그인 화면에서 010번호로 로그인
2. 약관 동의 후 전화번호 입력 화면의 국가코드 확인",2. 국가코드는 +82 로 선택되어 표시된다.,P3,3.0,common,app,_x0008_v25.2.0,UI노출확인+권한인증확인,"로그인,권한_허용",1,0,0,1,0,0,0,0,0,0,1,1,0
1.가입,29,전화번호 계정 노멀라이즈,+ 문자 노멀라이즈 처리,권한 허용,디폴트 문구,+82NNNNNNNNNNN,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,1. 인증번호 입력단계로 이동된다.,P3,3.0,common,app,_x0008_v25.2.0,기능동작확인+권한인증확인,"로그인,권한_허용",0,0,1,1,0,0,0,0,0,0,1,1,0
1.가입,30,전화번호 계정 노멀라이즈,-처리,권한 허용,디폴트 문구,NNN-NNNN-NNNN,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,1. 인증번호 입력단계로 이동된다.,P3,3.0,common,app,_x0008_v25.2.0,기능동작확인+권한인증확인,"로그인,권한_허용",0,0,1,1,0,0,0,0,0,0,1,1,0
1.가입,31,전화번호 계정 노멀라이즈,스페이스 처리,권한 허용,디폴트 문구,NNN NNNN NNNN,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,1. 인증번호 입력단계로 이동된다.,P3,3.0,common,app,_x0008_v25.2.0,기능동작확인+권한인증확인,"로그인,권한_허용",0,0,1,1,0,0,0,0,0,0,1,1,0
1.가입,33,비밀번호 자리수 체크로직,비밀번호 자리수 제한 확인,권한 허용,디폴트 문구,3자 입력,"1. 비밀번호 3자까지 입력
2. 비밀번호 4자까지 입력
3. 비밀번호 32자까지 입력
4. 비밀번호 32자 초과 입력","1. [카카오계정 로그인] 버튼 비활성화
2. [카카오계정 로그인] 버튼 활성화된다.
3. 32자 비밀번호가 입력된다.
4. 32자 초과 자리수는 입력되지 않는다.",P1,1.0,common,app,_x0008_v25.2.0,,"로그인,권한_허용",0,0,0,1,0,0,0,0,0,0,1,1,0
1.가입,34,비밀번호 자리수 체크로직,비밀번호 자리수 제한 확인,권한 허용,디폴트 문구,4자,1. 비밀번호 4자인 계정 입력 후 로그인 시도,"1. 로그인 시도가 처리되며, 약관 동의 화면으로 전환",P3,3.0,common,app,_x0008_v25.2.0,,"로그인,권한_허용",0,0,0,1,0,0,0,0,0,0,1,0,0
1.가입,35,비밀번호 자리수 체크로직,비밀번호 자리수 제한 확인,권한 허용,디폴트 문구,32자,1. 비밀번호 32자인 계정 입력 후 로그인 시도,"1. 로그인 시도가 처리되며, 약관 동의 화면으로 전환",P3,3.0,common,app,_x0008_v25.2.0,,"로그인,권한_허용",0,0,0,1,0,0,0,0,0,0,1,0,0
